City_ID,City,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Coquimbo,CL,-71.3436,-29.9533,55.13,82,0,11.5,clear sky
232,Loreto,MX,-101.9667,22.2667,62.29,75,73,14.88,broken clouds
233,East London,ZA,27.9116,-33.0153,53.42,60,14,17.63,few clouds
234,Khani,GE,42.9566,41.9563,53.17,82,100,3.38,overcast clouds
235,Sur,OM,59.5289,22.5667,83.12,75,100,18.81,overcast clouds
236,Gamba,GA,10.0,-2.65,75.42,88,100,6.46,light rain
237,Alihe,CN,123.7167,50.5667,43.38,51,100,9.69,overcast clouds
238,Pitimbu,BR,-34.8086,-7.4706,75.79,83,8,12.06,clear sky
239,Tasiilaq,GL,-37.6368,65.6145,26.11,62,1,5.86,clear sky
240,Caravelas,BR,-39.2481,-17.7125,75.2,85,2,13.38,clear sky
241,Alice Springs,AU,133.8833,-23.7,72.95,27,0,8.05,clear sky
242,Guangyuan,CN,105.823,32.442,76.84,85,99,1.52,overcast clouds
243,Bathsheba,BB,-59.5167,13.2167,84.81,70,40,20.71,scattered clouds
244,Alexandria,EG,29.9553,31.2156,73.36,56,40,10.36,scattered clouds
245,Baykit,RU,96.37,61.67,34.48,87,91,1.74,overcast clouds
246,Asău,RO,26.4,46.4333,41.76,90,0,2.15,clear sky
247,Utete,TZ,38.758,-7.986,68.34,94,66,1.79,broken clouds
248,La Rioja,ES,-2.5,42.25,57.04,57,100,7.54,overcast clouds
249,Inírida,CO,-67.9239,3.8653,74.3,94,96,2.17,light rain
250,Fort Nelson,CA,-122.7002,58.8053,53.19,26,20,9.22,few clouds
251,Meulaboh,ID,96.1285,4.1363,80.17,78,95,2.26,overcast clouds
252,Quba,AZ,48.5152,41.3626,48.9,90,81,1.41,broken clouds
253,Lodwar,KE,35.5973,3.1191,80.2,58,98,9.15,overcast clouds
254,Hay River,CA,-115.7999,60.8156,49.98,71,75,10.36,broken clouds
255,Hammerfest,NO,23.6821,70.6634,52.25,76,0,4.61,clear sky
256,Arāria,IN,87.5167,26.15,80.91,80,90,5.88,overcast clouds
257,Bambous Virieux,MU,57.7575,-20.3428,72.21,83,40,12.66,scattered clouds
258,Saint-François,FR,3.9054,46.4154,67.68,62,0,21.85,clear sky
259,Castlecomer,IE,-7.2106,52.8061,46.45,85,59,14.27,broken clouds
260,Smederevska Palanka,RS,20.9589,44.3655,55.62,66,34,5.64,scattered clouds
261,Smoky Lake,CA,-112.4686,54.1169,56.16,44,100,1.14,overcast clouds
262,Sanming,CN,117.6186,26.2486,87.37,58,2,2.89,clear sky
263,Buin,CL,-70.75,-33.7333,58.73,68,0,6.78,clear sky
264,Stornoway,GB,-6.3865,58.2093,54.93,93,47,1.14,scattered clouds
265,Aginskoye,RU,114.53,51.1,41.65,48,100,7.96,overcast clouds
266,Upernavik,GL,-56.1549,72.7868,30.25,72,100,7.65,overcast clouds
267,La Ronge,CA,-105.2842,55.1001,53.85,62,90,4.61,overcast clouds
268,Noshiro,JP,140.0242,40.2039,70.63,47,0,7.25,clear sky
269,Jardim,BR,-56.1381,-21.4803,77.97,61,0,4.34,clear sky
270,Kyshtovka,RU,76.6271,56.555,32.74,97,100,5.35,light snow
271,Hofn,IS,-15.2082,64.2539,45.63,71,84,19.64,broken clouds
272,Aksarka,RU,67.7975,66.5606,28.67,91,93,8.88,overcast clouds
273,Mbini,GQ,9.6134,1.574,75.99,90,66,4.07,light rain
274,Darnah,LY,22.6367,32.767,69.96,64,7,20.47,clear sky
275,Hamilton,US,-84.5333,39.1834,72.9,91,90,0.0,overcast clouds
276,Nayoro,JP,142.4578,44.3506,62.47,54,31,15.3,scattered clouds
277,Dingle,PH,122.6711,10.9995,83.84,78,98,3.27,overcast clouds
278,Staritsa,RU,34.9354,56.5075,36.72,92,14,4.09,few clouds
279,Chulym,RU,80.9572,55.0997,32.52,97,100,9.84,light snow
280,Wucheng,CN,118.175,29.6008,87.13,57,0,4.18,clear sky
281,Plácido de Castro,BR,-67.1856,-10.3353,79.9,63,15,3.42,few clouds
282,Marfino,RU,37.3822,55.7028,36.09,93,70,0.0,mist
283,Chabahar,IR,60.643,25.2919,81.91,78,100,22.12,overcast clouds
284,Bariloche,AR,-71.3082,-41.1456,38.95,56,20,13.8,light rain
285,Zhezkazgan,KZ,67.7144,47.8043,43.38,54,100,6.44,overcast clouds
286,Karasburg,NA,18.75,-28.0167,44.53,70,0,4.38,clear sky
287,Shilovo,RU,40.874,54.3204,35.8,87,16,2.46,few clouds
288,Cervo,ES,-7.4101,43.6702,58.19,85,100,16.8,overcast clouds
289,Palmer,US,-72.3287,42.1584,64.38,66,40,4.61,scattered clouds
290,Xinzhi,CN,111.7047,36.4989,70.5,96,100,4.99,moderate rain
291,Celestún,MX,-90.4,20.8667,82.35,75,94,13.38,overcast clouds
292,Kupang,ID,123.5833,-10.1667,85.14,59,32,8.19,scattered clouds
293,Ilhabela,BR,-45.3581,-23.7781,71.31,83,100,3.96,overcast clouds
294,Thompson,CA,-97.8558,55.7435,51.96,87,75,0.0,broken clouds
295,Kankan,GN,-9.3057,10.3854,70.3,95,100,1.74,overcast clouds
